Region,Delivery_Mode,Supplier,traffic_congestion_level,port_congestion_level,weather_condition_severity,fuel_consumption_rate,driver_behavior_score,fatigue_monitoring_score,supplier_reliability_score,Disruption,Weather_Conditions_Rainy,Weather_Conditions_Snowy,Weather_Conditions_Sunny,Is_Business_Day,Is_Holiday,Is_Working_Day,Week_Of_Year,Quarter,Is_Weekend,Delivery_Duration,traffic_congestion_level_rolling_mean_3,traffic_congestion_level_rolling_std_3,port_congestion_level_rolling_mean_3,port_congestion_level_rolling_std_3,supplier_reliability_score_rolling_mean_3,supplier_reliability_score_rolling_std_3,traffic_congestion_level_rolling_mean_7,traffic_congestion_level_rolling_std_7,port_congestion_level_rolling_mean_7,port_congestion_level_rolling_std_7,supplier_reliability_score_rolling_mean_7,supplier_reliability_score_rolling_std_7,traffic_congestion_level_expanding_mean,port_congestion_level_expanding_mean,supplier_reliability_score_expanding_mean,traffic_congestion_level_lag_1,traffic_congestion_level_lag_2,traffic_congestion_level_lag_3,traffic_congestion_level_lag_4,traffic_congestion_level_lag_5,traffic_congestion_level_lag_6,traffic_congestion_level_lag_7,port_congestion_level_lag_1,port_congestion_level_lag_2,port_congestion_level_lag_3,port_congestion_level_lag_4,port_congestion_level_lag_5,port_congestion_level_lag_6,port_congestion_level_lag_7,supplier_reliability_score_lag_1,supplier_reliability_score_lag_2,supplier_reliability_score_lag_3,supplier_reliability_score_lag_4,supplier_reliability_score_lag_5,supplier_reliability_score_lag_6,supplier_reliability_score_lag_7,Traffic_Port_Interaction
0,1,3,0.48130786,9.587155,0.6081998,0.03164657,0.012489724,0.18507761,0.79389507,1,False,False,True,True,False,True,1,1,False,-120.0,0.46876618,0.4126978,9.019664,1.3230761,0.7746954,0.17056066,0.4641836,0.39369804,7.5205436,3.473131,0.6513861,0.18205549,0.48025548,7.1166205,0.69322085,0.8750502,0.049940497,0.80048513,0.004525715,0.8787766,0.15919922,0.5927586,7.5075064,9.96433,0.061760277,8.899616,9.605063,7.0183735,4.28916,0.5953473,0.9348438,0.4310883,0.74273455,0.5985606,0.463233,0.98606426,4.614373
0,3,1,0.9613161,8.452269,0.8679999,0.0453742,0.876879,0.9964313,0.24222776,0,False,True,False,True,False,True,2,1,False,216.0,0.77255803,0.2558915,8.515643,1.0412719,0.54382336,0.27941948,0.5787717,0.40665323,7.7253857,3.4808536,0.6198139,0.23234189,0.53370667,7.265026,0.6431105,0.48130786,0.8750502,0.049940497,0.80048513,0.004525715,0.8787766,0.15919922,9.587155,7.5075064,9.96433,0.061760277,8.899616,9.605063,7.0183735,0.79389507,0.5953473,0.9348438,0.4310883,0.74273455,0.5985606,0.463233,8.125302
0,1,3,0.9897408,9.842723,0.802686,0.005895076,0.011958546,0.45339444,0.99910694,0,False,False,True,True,False,True,1,1,False,216.0,0.8107883,0.28569213,9.294049,0.74011755,0.67840993,0.39143217,0.59462374,0.422164,7.759337,3.5033295,0.6770348,0.27214837,0.57931006,7.5227957,0.67871016,0.9613161,0.48130786,0.8750502,0.049940497,0.80048513,0.004525715,0.8787766,8.452269,9.587155,7.5075064,9.96433,0.061760277,8.899616,9.605063,0.24222776,0.79389507,0.5953473,0.9348438,0.4310883,0.74273455,0.5985606,9.741744
1,1,2,0.84518,4.007823,0.007115717,0.10679709,0.026288703,0.18889353,0.64534235,1,False,False,False,True,False,True,2,1,False,336.0,0.93207896,0.076586984,7.434272,3.0477457,0.62889236,0.37870765,0.7147172,0.33737722,7.0605097,3.719207,0.66312164,0.2707155,0.60348004,7.203253,0.6756767,0.9897408,0.9613161,0.48130786,0.8750502,0.049940497,0.80048513,0.004525715,9.842723,8.452269,9.587155,7.5075064,9.96433,0.061760277,8.899616,0.99910694,0.24222776,0.79389507,0.5953473,0.9348438,0.4310883,0.74273455,3.3873317
0,3,2,0.025411775,1.9745274,0.7631494,0.0010112837,0.9424473,0.92354417,0.19185573,1,False,False,True,True,False,True,2,1,False,192.0,0.62011087,0.5200718,5.2750244,4.084296,0.6121017,0.40465087,0.60399246,0.42128897,7.333762,3.1452892,0.6289456,0.31617436,0.5553077,6.7675257,0.6353583,0.84518,0.9897408,0.9613161,0.48130786,0.8750502,0.049940497,0.80048513,4.007823,9.842723,8.452269,9.587155,7.5075064,9.96433,0.061760277,0.64534235,0.99910694,0.24222776,0.79389507,0.5953473,0.9348438,0.4310883,0.050176248
3,1,3,0.11143601,5.4692903,0.28855085,0.27940187,0.27288246,0.99409145,0.07289762,0,False,False,True,True,False,True,1,1,False,264.0,0.3273426,0.45051828,3.8172135,1.7551612,0.30336523,0.30207452,0.61277753,0.4082492,6.691613,2.972848,0.5058104,0.34382096,0.5211637,6.667661,0.5920921,0.025411775,0.84518,0.9897408,0.9613161,0.48130786,0.8750502,0.049940497,1.9745274,4.007823,9.842723,8.452269,9.587155,7.5075064,9.96433,0.19185573,0.64534235,0.99910694,0.24222776,0.79389507,0.5953473,0.9348438,0.60947585
3,3,2,0.62292653,9.621056,0.0016075743,0.025204215,0.17616367,0.99990386,0.20753445,1,False,True,False,True,False,True,1,1,False,96.0,0.2532581,0.32301873,5.688291,3.8279655,0.15742926,0.073625095,0.5767599,0.39205432,6.993549,3.170298,0.45040858,0.35794395,0.5284325,6.8786182,0.5646237,0.11143601,0.025411775,0.84518,0.9897408,0.9613161,0.48130786,0.8750502,5.4692903,1.9745274,4.007823,9.842723,8.452269,9.587155,7.5075064,0.07289762,0.19185573,0.64534235,0.99910694,0.24222776,0.79389507,0.5953473,5.993211
3,3,0,0.91955197,3.7793365,0.6949488,0.17772304,0.7851339,0.9354533,0.31047532,1,True,False,False,True,False,True,1,1,False,120.0,0.5513048,0.40879104,6.289894,3.006071,0.19696914,0.119140714,0.63936615,0.4089006,6.163861,3.138217,0.3813486,0.32582116,0.55450714,6.6719995,0.54768044,0.62292653,0.11143601,0.025411775,0.84518,0.9897408,0.9613161,0.48130786,9.621056,5.4692903,1.9745274,4.007823,9.842723,8.452269,9.587155,0.20753445,0.07289762,0.19185573,0.64534235,0.99910694,0.24222776,0.79389507,3.4752963
1,1,1,0.8896589,9.172005,0.52132857,0.507866,0.9357244,0.95261073,0.7822778,1,False,True,False,True,False,True,1,1,False,120.0,0.8107125,0.16331282,7.5241323,3.2508512,0.43342918,0.30646488,0.6291294,0.4003039,6.2666802,3.235958,0.4584986,0.3504001,0.5754541,6.8282495,0.5623428,0.91955197,0.62292653,0.11143601,0.025411775,0.84518,0.9897408,0.9613161,3.7793365,9.621056,5.4692903,1.9745274,4.007823,9.842723,8.452269,0.31047532,0.20753445,0.07289762,0.19185573,0.64534235,0.99910694,0.24222776,8.159956
1,2,3,0.53726584,2.8394961,0.53049093,0.009224759,0.9431851,0.79318506,0.99600464,1,True,False,False,True,False,True,1,1,False,120.0,0.7821589,0.21260965,5.2636123,3.4172318,0.6962526,0.35076755,0.56449014,0.3675618,5.266219,3.0215778,0.4580554,0.34960344,0.57320774,6.593617,0.5878523,0.8896589,0.91955197,0.62292653,0.11143601,0.025411775,0.84518,0.9897408,9.172005,3.7793365,9.621056,5.4692903,1.9745274,4.007823,9.842723,0.7822778,0.31047532,0.20753445,0.07289762,0.19185573,0.64534235,0.99910694,1.5255643
2,1,0,0.14729321,1.3062367,0.052156966,0.06673437,0.6755027,0.51340026,0.01889121,1,False,False,True,False,False,False,1,1,True,144.0,0.5247393,0.37134138,4.4392457,4.1697693,0.5990579,0.5136777,0.46479204,0.37334043,4.880278,3.362411,0.3685624,0.37306416,0.5495458,6.299874,0.55624336,0.53726584,0.8896589,0.91955197,0.62292653,0.11143601,0.025411775,0.84518,2.8394961,9.172005,3.7793365,9.621056,5.4692903,1.9745274,4.007823,0.99600464,0.7822778,0.31047532,0.20753445,0.07289762,0.19185573,0.64534235,0.19239981
0,3,3,0.14503235,9.573004,0.79303247,2.9687769e-08,0.68926734,0.19504584,0.2758348,1,False,False,False,True,False,True,1,1,False,312.0,0.27653047,0.2258063,4.572912,4.3975453,0.43024355,0.5065266,0.4818807,0.3520051,5.9657745,3.492015,0.3805594,0.36774692,0.52825564,6.4721437,0.541485,0.14729321,0.53726584,0.8896589,0.91955197,0.62292653,0.11143601,0.025411775,1.3062367,2.8394961,9.172005,3.7793365,9.621056,5.4692903,1.9745274,0.01889121,0.99600464,0.7822778,0.31047532,0.20753445,0.07289762,0.19185573,1.3883952
0,1,2,0.9405084,6.4587445,0.21111152,0.9644768,0.9872469,0.9986028,0.11146313,1,False,False,True,False,False,False,1,1,True,-120.0,0.41094467,0.45861706,5.7793283,4.175052,0.13539638,0.13013302,0.6003196,0.34601572,6.1071253,3.4885926,0.38606876,0.3626227,0.5488683,6.4714737,0.51998395,0.14503235,0.14729321,0.53726584,0.8896589,0.91955197,0.62292653,0.11143601,9.573004,1.3062367,2.8394961,9.172005,3.7793365,9.621056,5.4692903,0.2758348,0.01889121,0.99600464,0.7822778,0.31047532,0.20753445,0.07289762,6.0745034
2,2,1,0.67821133,2.0630972,0.80632335,0.0418213,0.00048706768,0.99494636,0.6295992,1,True,False,False,False,False,False,1,1,True,48.0,0.5879174,0.40535206,6.031615,3.773129,0.3389657,0.2647742,0.6082174,0.34724647,5.027417,3.3879132,0.44636375,0.36307842,0.5550275,6.261551,0.5252037,0.9405084,0.14503235,0.14729321,0.53726584,0.8896589,0.91955197,0.62292653,6.4587445,9.573004,1.3062367,2.8394961,9.172005,3.7793365,9.621056,0.11146313,0.2758348,0.01889121,0.99600464,0.7822778,0.31047532,0.20753445,1.3992159
1,1,1,0.013895256,4.5976033,0.59879524,0.0024177814,0.70821524,0.5902388,0.27747425,1,False,False,True,False,False,False,1,1,True,-48.0,0.544205,0.47762042,4.3731484,2.2064028,0.3395122,0.2645804,0.4788379,0.37916505,5.1443124,3.3515947,0.4416493,0.36534414,0.53043056,6.185917,0.51394325,0.67821133,0.9405084,0.14503235,0.14729321,0.53726584,0.8896589,0.91955197,2.0630972,6.4587445,9.573004,1.3062367,2.8394961,9.172005,3.7793365,0.6295992,0.11146313,0.2758348,0.01889121,0.99600464,0.7822778,0.31047532,0.06388487
